window_index,approx_time_sec,approx_frame,C10095_score,C10118_score,C10119_score,C10390_score,C10404_score,fusion_score,prediction,true_label
25,50.0,3000,0.3079569,0.29209298,0.20766951,0.14568552,0.14173025,0.3079569,0,0
26,52.0,3120,0.27233547,0.4009882,0.25189435,0.34579572,0.33829132,0.4009882,0,0
27,54.0,3240,0.29389408,0.42229652,0.37537143,0.47871745,0.3061861,0.47871745,0,0
28,56.0,3360,0.35541967,0.3596277,0.46284112,0.5446763,0.43823755,0.5446763,0,0
29,58.0,3480,1.2178315,0.71236545,0.6796044,1.7726421,0.7010069,1.7726421,1,0
30,60.0,3600,1.3143461,1.0278699,1.0441214,0.69896674,1.0996015,1.3143461,1,0
31,62.0,3720,0.8459383,0.60838515,0.6082729,0.53519845,0.6611348,0.8459383,0,0
32,64.0,3840,0.21962559,0.25845504,0.16815656,0.16890685,0.18753166,0.25845504,0,0
33,66.0,3960,0.12852818,0.11710823,0.09299362,0.14191236,0.12545748,0.14191236,0,0
34,68.0,4080,0.20716137,0.195842,0.195148,0.23767781,0.16081198,0.23767781,0,0
35,70.0,4200,0.30515268,0.28565985,0.21177556,0.1326573,0.18973862,0.30515268,0,0
36,72.0,4320,1.5854057,1.6982399,1.4841207,1.0928713,0.97810566,1.6982399,1,1
37,74.0,4440,1.0661956,1.2070651,1.2113875,0.77337277,0.72969687,1.2113875,1,1
38,76.0,4560,0.5671152,0.87392795,0.5980471,0.5808293,0.30994532,0.87392795,0,1
39,78.0,4680,0.55364233,1.0188515,0.5535152,0.48828554,0.30795324,1.0188515,1,1
40,80.0,4800,0.8002656,1.1648594,0.8573724,0.656223,0.32506168,1.1648594,1,1
41,82.0,4920,0.70495063,0.71227616,0.5854599,0.5156852,0.33856243,0.71227616,0,1
42,84.0,5040,0.3077012,0.5564394,0.3881793,0.3845324,0.28524417,0.5564394,0,0
43,86.0,5160,0.71154016,0.9440862,0.72905797,0.47455707,0.3715236,0.9440862,0,1
44,88.0,5280,0.96181905,1.2307944,1.0906842,0.64046645,0.54960793,1.2307944,1,1
45,90.0,5400,1.005204,1.3562524,1.9393474,0.836544,0.59416676,1.9393474,1,1
46,92.0,5520,0.94074893,0.9861839,1.2421665,0.50233066,0.41088426,1.2421665,1,1
47,94.0,5640,1.0950099,1.5215007,1.2765379,0.97829217,0.5725962,1.5215007,1,1
48,96.0,5760,1.7435081,1.5995638,1.2115934,0.9931636,0.53155607,1.7435081,1,1
49,98.0,5880,2.213492,2.1836274,1.875759,1.6822888,1.686807,2.213492,1,1
50,100.0,6000,1.6958776,1.2291306,1.4365366,0.8027543,0.4627701,1.6958776,1,1
51,102.0,6120,1.4080908,0.8542273,1.3348411,0.75895244,0.5133218,1.4080908,1,1
52,104.0,6240,1.2060325,0.92174864,1.0150193,0.7661267,0.95691687,1.2060325,1,1
53,106.0,6360,1.3367631,0.93112177,1.4077538,0.56360996,0.83454484,1.4077538,1,1
54,108.0,6480,2.063267,1.145784,1.6507765,0.8121686,1.8192383,2.063267,1,1
55,110.0,6600,1.454197,1.1165051,1.3171377,0.6378019,1.0074434,1.454197,1,1
56,112.0,6720,1.5153488,1.0872309,1.5721478,0.90723896,1.4598248,1.5721478,1,1
57,114.0,6840,1.7688677,1.3608732,1.7966841,1.4486356,1.1470101,1.7966841,1,1
58,116.0,6960,0.91807353,0.98568934,0.9431562,0.6352971,0.68910044,0.98568934,0,1
59,118.0,7080,1.5082766,1.2580724,1.2048572,1.3765228,0.75164205,1.5082766,1,1
60,120.0,7200,1.8169069,1.2175195,1.1424079,1.3798842,0.8355414,1.8169069,1,1
61,122.0,7320,1.7822086,1.3152221,1.1674736,1.2588804,0.8467183,1.7822086,1,1
62,124.0,7440,1.7459038,1.101381,0.9899929,1.2116145,0.68136775,1.7459038,1,1
63,126.0,7560,1.4963804,1.218968,1.0933845,1.3804604,0.8383274,1.4963804,1,1
64,128.0,7680,1.5918572,0.9060639,1.1214305,1.1363043,0.6059097,1.5918572,1,1
65,130.0,7800,1.6531346,0.8889861,1.0154812,0.9013443,0.6023145,1.6531346,1,1
66,132.0,7920,1.170277,1.2218496,0.9787869,0.6207203,0.7394712,1.2218496,1,1
67,134.0,8040,0.32206747,0.46279788,0.3596817,0.32674816,0.37345627,0.46279788,0,0
68,136.0,8160,0.32060358,0.36046517,0.30736685,0.26335052,0.34673834,0.36046517,0,0
69,138.0,8280,0.6081167,0.54756004,0.5778609,0.3867926,0.4340416,0.6081167,0,0
70,140.0,8400,0.23621081,0.28687805,0.25180507,0.25445342,0.24943785,0.28687805,0,0
71,142.0,8520,0.26337543,0.35650483,0.44089767,0.3614425,0.34989113,0.44089767,0,0
72,144.0,8640,0.4011659,0.43818262,0.42168796,0.48487082,0.3364065,0.48487082,0,0
73,146.0,8760,0.21081139,0.31005052,0.2179495,0.17137812,0.23720892,0.31005052,0,0
74,148.0,8880,0.27072975,0.3056646,0.29908854,0.20451148,0.3487745,0.3487745,0,0
75,150.0,9000,0.19683611,0.40911594,0.22473633,0.33751783,0.23469158,0.40911594,0,0
76,152.0,9120,0.31979933,0.35097694,0.22859187,0.29318422,0.23203626,0.35097694,0,0
77,154.0,9240,0.22868447,0.34921303,0.27401346,0.32600176,0.21381907,0.34921303,0,0
78,156.0,9360,0.25076896,0.28151834,0.24022865,0.24099065,0.22152455,0.28151834,0,0
79,158.0,9480,0.45853463,0.5857235,0.82478,0.49556586,0.3494938,0.82478,0,0
80,160.0,9600,0.28135112,0.2730017,0.30020222,0.2494842,0.20342374,0.30020222,0,0
81,162.0,9720,0.21728116,0.20745449,0.19516893,0.18154007,0.17805767,0.21728116,0,0
82,164.0,9840,0.21242824,0.3040984,0.22697167,0.20486115,0.17491317,0.3040984,0,0
83,166.0,9960,0.30978838,0.29768753,0.26007107,0.26920718,0.27164978,0.30978838,0,0
84,168.0,10080,0.3520183,0.37727472,0.3502992,0.32452205,0.3411218,0.37727472,0,0
85,170.0,10200,1.0347277,1.2461673,0.8369815,1.4290297,0.4934001,1.4290297,1,1
86,172.0,10320,1.1747723,0.8357742,0.76621366,0.48551258,0.49598208,1.1747723,1,1
87,174.0,10440,1.6836808,1.3319552,1.8804986,0.7549307,0.6342519,1.8804986,1,1
88,176.0,10560,1.0752624,1.3541005,1.3548477,1.2215749,0.43365973,1.3548477,1,0
89,178.0,10680,0.8456355,1.1016582,0.88410145,0.57457316,0.44674626,1.1016582,1,0
90,180.0,10800,0.30710235,0.39372456,0.3538745,0.33119485,0.36571512,0.39372456,0,0
91,182.0,10920,0.36240578,0.30203223,0.40749174,0.3205195,0.24635361,0.40749174,0,0
92,184.0,11040,0.358235,0.25964233,0.35041633,0.66964376,0.49108598,0.66964376,0,0
93,186.0,11160,0.6695861,0.76080763,0.59661907,0.8328446,0.55303115,0.8328446,0,0
94,188.0,11280,0.25051874,0.29792133,0.27111587,0.29447746,0.20793335,0.29792133,0,0
95,190.0,11400,0.3152294,0.35085934,0.38450286,0.43030524,0.22131316,0.43030524,0,0
96,192.0,11520,0.46980408,0.47783795,0.7440528,0.45954502,0.43036845,0.7440528,0,0
97,194.0,11640,0.19808719,0.26708874,0.23293677,0.23054047,0.22026588,0.26708874,0,0
98,196.0,11760,0.28756294,0.23289402,0.30361545,0.33454302,0.4492539,0.4492539,0,0
99,198.0,11880,0.3593396,0.35951248,0.37156573,0.28725797,0.33537927,0.37156573,0,0
100,200.0,12000,0.38587052,0.36700082,0.25647995,0.36200362,0.29795483,0.38587052,0,0
101,202.0,12120,0.21065626,0.21057922,0.2180719,0.2749313,0.20450263,0.2749313,0,0
102,204.0,12240,0.39754298,0.35454303,0.37627786,0.3246554,0.2680727,0.39754298,0,0
103,206.0,12360,0.87820405,0.8918793,0.56309754,0.5080899,0.34306315,0.8918793,0,0
104,208.0,12480,0.23154199,0.32055596,0.2758107,0.24346158,0.2719453,0.32055596,0,0
105,210.0,12600,1.0701392,0.82341164,0.97364825,0.82726634,0.37551463,1.0701392,1,0
106,212.0,12720,0.36097947,0.41159862,0.46202263,0.42513794,0.29658142,0.46202263,0,0
107,214.0,12840,0.26718143,0.33311307,0.30959418,0.32192698,0.20774065,0.33311307,0,0
108,216.0,12960,0.23230165,0.28727654,0.18599902,0.20602939,0.1741409,0.28727654,0,0
109,218.0,13080,0.6216996,0.8550965,0.6622584,0.4436376,0.23027076,0.8550965,0,0
110,220.0,13200,0.35397828,0.60432994,0.45200387,0.27821064,0.24063857,0.60432994,0,0
111,222.0,13320,1.0264767,1.4397274,1.330621,1.034727,0.624734,1.4397274,1,0
112,224.0,13440,0.4593887,0.6308749,0.42749798,0.27004442,0.26566046,0.6308749,0,0
113,226.0,13560,0.41547737,0.31139702,0.27844572,0.2141514,0.18386629,0.41547737,0,0
114,228.0,13680,0.5395612,0.54482347,0.42480272,0.27678686,0.22920334,0.54482347,0,0
115,230.0,13800,0.44572783,0.69230974,0.48586574,0.23284435,0.19027445,0.69230974,0,0
116,232.0,13920,0.4340224,0.6966601,0.68831164,0.48505136,0.2928207,0.6966601,0,0
117,234.0,14040,0.2808922,0.37782934,0.367858,0.27436998,0.23740302,0.37782934,0,0
118,236.0,14160,0.37432528,0.31935495,0.24898636,0.3359721,0.14913517,0.37432528,0,0
119,238.0,14280,1.7790796,2.2542186,1.680328,1.7435454,0.9775015,2.2542186,1,0
120,240.0,14400,0.2900094,0.38426825,0.26886308,0.30171868,0.42068428,0.42068428,0,0
121,242.0,14520,0.17245504,0.21789148,0.24636026,0.15313604,0.194707,0.24636026,0,0
122,244.0,14640,0.25316104,0.2633628,0.20317188,0.16262926,0.19129634,0.2633628,0,0
123,246.0,14760,3.046742,1.9667419,2.4304981,1.9033732,2.4728484,3.046742,1,0
124,248.0,14880,0.24708344,0.4075189,0.25327417,0.44635436,0.27855182,0.44635436,0,0
125,250.0,15000,0.28968853,0.44614083,0.21946144,0.2619281,0.15188447,0.44614083,0,0
126,252.0,15120,0.21527843,0.15898159,0.2136102,0.1981108,0.14895445,0.21527843,0,0
127,254.0,15240,0.20031352,0.31057957,0.2062363,0.1282821,0.09709256,0.31057957,0,0
128,256.0,15360,0.20427224,0.15186112,0.18273836,0.17208925,0.09658602,0.20427224,0,0
129,258.0,15480,0.29086024,0.26679882,0.2660222,0.17070831,0.10689794,0.29086024,0,0
130,260.0,15600,0.26775986,0.34640956,0.26944923,0.38189825,0.35080647,0.38189825,0,0
131,262.0,15720,0.20232405,0.18282942,0.13035281,0.1301255,0.086831786,0.20232405,0,0
132,264.0,15840,0.2202382,0.16730168,0.090147994,0.13854285,0.08517543,0.2202382,0,0
133,266.0,15960,0.23042898,0.19075815,0.13368429,0.13081087,0.10821333,0.23042898,0,0
134,268.0,16080,0.99626064,1.3951331,1.0540848,1.022903,0.8525718,1.3951331,1,0
135,270.0,16200,0.2116072,0.17474097,0.3529818,0.25584513,0.112161994,0.3529818,0,0
136,272.0,16320,0.222605,0.22313763,0.28168,0.26330245,0.27742264,0.28168,0,0
137,274.0,16440,0.6809838,0.7331204,0.6783637,0.62842953,0.7607375,0.7607375,0,0
138,276.0,16560,0.15668656,0.16804512,0.17592703,0.12971649,0.14897732,0.17592703,0,0
139,278.0,16680,0.19170429,0.16079013,0.20678678,0.20143639,0.14324747,0.20678678,0,0
140,280.0,16800,0.2402859,0.33353308,0.28265813,0.2503335,0.20028359,0.33353308,0,0
141,282.0,16920,0.19068147,0.28918186,0.20644943,0.25542402,0.20431015,0.28918186,0,0
142,284.0,17040,2.2460477,2.090267,2.5174823,1.5967039,2.176479,2.5174823,1,0
143,286.0,17160,0.789043,0.6559697,0.72778326,0.5326374,0.7836336,0.789043,0,0
144,288.0,17280,0.14797273,0.23663756,0.22420022,0.27579507,0.19882263,0.27579507,0,0
145,290.0,17400,0.1333634,0.16925584,0.12578076,0.25628123,0.16422321,0.25628123,0,0
146,292.0,17520,0.2359287,0.2831652,0.21995214,0.3381899,0.2860947,0.3381899,0,0
147,294.0,17640,1.5377313,0.9927982,1.4460412,0.8925109,1.1198679,1.5377313,1,0
148,296.0,17760,0.40553206,0.34932622,0.39433065,0.23409939,0.16735928,0.40553206,0,0
149,298.0,17880,0.21061766,0.25287652,0.18843907,0.18009596,0.1290294,0.25287652,0,0
150,300.0,18000,0.30300504,0.2554204,0.24948527,0.20716879,0.14044045,0.30300504,0,0
151,302.0,18120,1.1352785,0.9351707,0.9081304,0.89064175,0.72536445,1.1352785,1,1
152,304.0,18240,1.0222355,0.6701582,0.7019144,0.55007905,0.471972,1.0222355,1,1
153,306.0,18360,0.7379284,0.753967,0.62422895,0.72604495,0.36427325,0.753967,0,1
154,308.0,18480,0.78008455,0.65832794,0.51211345,0.48741913,0.4508705,0.78008455,0,0
155,310.0,18600,0.45292306,0.41605532,0.251104,0.36681458,0.3237385,0.45292306,0,0
156,312.0,18720,0.28274795,0.28755888,0.25522915,0.19203614,0.14111657,0.28755888,0,0
157,314.0,18840,0.30226946,0.28838995,0.29272237,0.3175785,0.1998888,0.3175785,0,0
158,316.0,18960,0.33020118,0.43529525,0.30040085,0.39816588,0.30844948,0.43529525,0,0
159,318.0,19080,0.35206032,0.6894217,0.34081233,0.3620076,0.22354946,0.6894217,0,0
160,320.0,19200,0.42686898,0.40628725,0.2979409,0.28455526,0.2185874,0.42686898,0,0
161,322.0,19320,0.27988467,0.2720004,0.23177616,0.3132909,0.17719142,0.3132909,0,0
162,324.0,19440,0.2927058,0.33985794,0.34003878,0.2501437,0.28139323,0.34003878,0,0
163,326.0,19560,0.31685928,0.30763346,0.15145646,0.27616224,0.2015381,0.31685928,0,0
164,328.0,19680,0.33595556,0.35176194,0.2625932,0.22383243,0.1520942,0.35176194,0,0
165,330.0,19800,0.24340236,0.27968755,0.26020482,0.18803176,0.13760433,0.27968755,0,0
166,332.0,19920,0.48826674,0.4383213,0.48179135,0.34049776,0.20294933,0.48826674,0,0
167,334.0,20040,1.8069932,1.438589,1.4934294,1.3730885,1.3050528,1.8069932,1,0
168,336.0,20160,0.852372,0.513543,0.7075205,0.4165183,0.2698803,0.852372,0,0
169,338.0,20280,0.31718412,0.30580974,0.26019785,0.28343514,0.29892462,0.31718412,0,0
170,340.0,20400,1.1434805,1.1233115,1.0838021,0.52955526,0.57849747,1.1434805,1,1
171,342.0,20520,1.2459953,1.238694,1.065016,0.6124025,0.4390226,1.2459953,1,1
172,344.0,20640,0.7815637,0.7483287,1.1834255,0.44908288,0.5128776,1.1834255,1,1
173,346.0,20760,0.53671014,0.36459497,0.44968072,0.42789274,0.26144797,0.53671014,0,0
174,348.0,20880,0.79605985,0.99999994,0.9876466,0.53341377,0.32062504,0.99999994,0,0
175,350.0,21000,0.23767236,0.25074178,0.3580917,0.22381863,0.17006303,0.3580917,0,0
176,352.0,21120,0.36914268,0.3589164,0.31020182,0.29201603,0.37382367,0.37382367,0,0
177,354.0,21240,0.35867134,0.2948682,0.269501,0.34937778,0.27847058,0.35867134,0,0
178,356.0,21360,0.32995623,0.3277689,0.27780822,0.29191235,0.20531616,0.32995623,0,0
179,358.0,21480,0.45323676,0.3164606,0.33316287,0.30158064,0.28407043,0.45323676,0,0
180,360.0,21600,0.4776099,0.30414802,0.26269844,0.3099611,0.23818171,0.4776099,0,0
181,362.0,21720,0.25720525,0.15932897,0.2247625,0.16076246,0.13562053,0.25720525,0,0
182,364.0,21840,0.26587352,0.35753772,0.2227594,0.22705083,0.20277396,0.35753772,0,0
183,366.0,21960,0.51083994,0.42984727,0.42124438,0.40664065,0.34048885,0.51083994,0,0
184,368.0,22080,0.76943296,0.8570279,0.58114743,0.5105597,0.45434478,0.8570279,0,0
185,370.0,22200,0.2534364,0.3806996,0.3270502,0.1939534,0.22199704,0.3806996,0,0
186,372.0,22320,0.22278899,0.28269842,0.26269856,0.21135531,0.14894557,0.28269842,0,0
187,374.0,22440,0.40940398,0.3811389,0.44900718,0.2881027,0.2974656,0.44900718,0,0
188,376.0,22560,0.26521066,0.27963635,0.16586956,0.30184764,0.18842597,0.30184764,0,0
189,378.0,22680,0.28047782,0.34344435,0.22815225,0.37935525,0.25440273,0.37935525,0,0
190,380.0,22800,0.35265517,0.44590116,0.29068163,0.2817655,0.26506752,0.44590116,0,0
191,382.0,22920,0.22470953,0.2287629,0.18386512,0.17972702,0.18050024,0.2287629,0,0
192,384.0,23040,0.19492806,0.23756163,0.29004365,0.21896894,0.14616956,0.29004365,0,0
193,386.0,23160,0.17315963,0.19140728,0.19785155,0.14916995,0.1315692,0.19785155,0,0
194,388.0,23280,0.76392466,0.7110672,1.1260748,0.6454244,0.7444705,1.1260748,1,0
195,390.0,23400,0.17516148,0.2660959,0.20580082,0.24967298,0.23270431,0.2660959,0,0
196,392.0,23520,0.31306702,0.29221967,0.19496451,0.28704178,0.24413788,0.31306702,0,0
197,394.0,23640,0.7170596,0.71482086,0.99999976,0.65825576,0.5766415,0.99999976,0,0
198,396.0,23760,0.19527113,0.24133061,0.2165818,0.1972533,0.16786835,0.24133061,0,0
199,398.0,23880,0.23390274,0.19057667,0.20630048,0.15606932,0.22721542,0.23390274,0,0
200,400.0,24000,0.19462115,0.1725763,0.21640205,0.29342696,0.17563187,0.29342696,0,0
201,402.0,24120,0.28252408,0.29525578,0.2667483,0.25567558,0.21882628,0.29525578,0,0
202,404.0,24240,0.59646505,0.57696974,0.40563744,0.71462876,0.18556876,0.71462876,0,0
203,406.0,24360,0.16880338,0.29287893,0.19614708,0.22660089,0.19007306,0.29287893,0,0
204,408.0,24480,0.25052053,0.20181763,0.26196194,0.22846256,0.18293615,0.26196194,0,0
205,410.0,24600,0.15073527,0.21307608,0.19093268,0.18500152,0.15531336,0.21307608,0,0
206,412.0,24720,0.33353496,0.3145875,0.3412242,0.33109474,0.27410406,0.3412242,0,0
207,414.0,24840,0.28408328,0.34426156,0.29973713,0.21613051,0.23429403,0.34426156,0,0
208,416.0,24960,0.20477283,0.34368783,0.25171417,0.1872216,0.19668028,0.34368783,0,0
209,418.0,25080,0.2780707,0.26483285,0.22393638,0.23357062,0.15835716,0.2780707,0,0
210,420.0,25200,0.28855288,0.4040511,0.29827887,0.26560506,0.16247319,0.4040511,0,0
211,422.0,25320,0.37180907,0.36545292,0.26257765,0.22331053,0.1605894,0.37180907,0,0
212,424.0,25440,0.25230116,0.25743228,0.2977907,0.20853604,0.15694523,0.2977907,0,0
213,426.0,25560,0.4767911,0.44705206,0.36108595,0.43862152,0.16684887,0.4767911,0,0
214,428.0,25680,0.28937185,0.35218728,0.2913379,0.35919565,0.20978615,0.35919565,0,0
215,430.0,25800,0.3067575,0.27345085,0.26457813,0.2780736,0.17467463,0.3067575,0,0
216,432.0,25920,0.5605795,0.5413007,0.55025715,0.42052028,0.20094645,0.5605795,0,0
217,434.0,26040,0.43852848,0.28976998,0.26212975,0.34265417,0.2941897,0.43852848,0,0
218,436.0,26160,0.26600152,0.2464166,0.25742266,0.23935716,0.18002672,0.26600152,0,0
219,438.0,26280,0.285276,0.23093458,0.21389124,0.2561353,0.24586216,0.285276,0,0
220,440.0,26400,0.43939427,0.70340914,0.67563206,0.539786,0.41315386,0.70340914,0,0
221,442.0,26520,0.2660072,0.30403733,0.31746584,0.27064937,0.13798445,0.31746584,0,0
222,444.0,26640,0.1676703,0.31413108,0.17824274,0.2069436,0.18986478,0.31413108,0,0
223,446.0,26760,0.9126552,0.8267607,0.6742931,0.94636506,0.6774684,0.94636506,0,0
224,448.0,26880,0.29656982,0.4673763,0.3701953,0.39175037,0.3869734,0.4673763,0,0
225,450.0,27000,0.15552372,0.20786288,0.14760792,0.33121628,0.12689966,0.33121628,0,0
226,452.0,27120,0.21184923,0.25945464,0.2059308,0.3096614,0.13812117,0.3096614,0,0
227,454.0,27240,0.3014037,0.36867055,0.25057888,0.46756437,0.15629208,0.46756437,0,0
228,456.0,27360,0.33714956,0.52638716,0.28900838,0.35626218,0.18454097,0.52638716,0,0
229,458.0,27480,0.29784933,0.38698626,0.17599371,0.22222,0.10724134,0.38698626,0,0
230,460.0,27600,0.23778573,0.3087321,0.2945138,0.2681989,0.20679402,0.3087321,0,0
231,462.0,27720,0.6423112,0.5751736,0.6785823,0.50619024,0.33306837,0.6785823,0,0
232,464.0,27840,0.17620353,0.28396288,0.10500763,0.2509412,0.19875051,0.28396288,0,0
233,466.0,27960,0.22879072,0.35122737,0.20481803,0.3847707,0.35634595,0.3847707,0,0
234,468.0,28080,0.21004426,0.26819196,0.24595496,0.35287285,0.37695318,0.37695318,0,0
235,470.0,28200,0.38657033,0.6880263,0.7002617,0.56582224,0.6368549,0.7002617,0,0
236,472.0,28320,0.25498256,0.3191162,0.3022791,0.3326283,0.3399158,0.3399158,0,0
237,474.0,28440,0.58847266,0.49608535,0.42127752,0.6088137,0.5888376,0.6088137,0,1
238,476.0,28560,0.7380306,1.0228162,1.09787,0.9462134,0.49258837,1.09787,1,1
239,478.0,28680,0.381145,0.49778914,0.5119097,0.47457066,0.33617166,0.5119097,0,1
240,480.0,28800,0.2195587,0.35995823,0.33990932,0.30620864,0.18805654,0.35995823,0,0
241,482.0,28920,0.3349301,0.32418168,0.35401076,0.4221144,0.20344417,0.4221144,0,0
242,484.0,29040,0.32240528,0.21057491,0.31495532,0.20866933,0.2469961,0.32240528,0,0
243,486.0,29160,0.18771024,0.18524152,0.21457316,0.20696636,0.20019849,0.21457316,0,0
244,488.0,29280,0.18831322,0.15623212,0.19221064,0.18548931,0.19041203,0.19221064,0,0
245,490.0,29400,0.26450127,0.32843113,0.28573123,0.22849657,0.24708275,0.32843113,0,0
246,492.0,29520,0.24850796,0.28164357,0.2880662,0.1827607,0.22543325,0.2880662,0,0
247,494.0,29640,1.1451852,1.6623596,1.9022324,0.9569638,0.642646,1.9022324,1,1
248,496.0,29760,0.24324268,0.2810285,0.34442258,0.3317552,0.2744421,0.34442258,0,0
249,498.0,29880,0.34167057,0.30770752,0.2666819,0.28568727,0.37910175,0.37910175,0,0
250,500.0,30000,0.27567464,0.36319843,0.25753325,0.3372743,0.3404144,0.36319843,0,0
251,502.0,30120,1.4591912,0.7986839,1.1282881,1.0602605,1.6674784,1.6674784,1,0
252,504.0,30240,1.0701318,1.1061289,1.2090833,1.1531546,2.7059104,2.7059104,1,0
253,506.0,30360,1.0358257,1.6086375,1.931051,1.1535128,2.2777433,2.2777433,1,0
254,508.0,30480,1.0456244,1.7966473,2.084085,1.1239338,2.3211749,2.3211749,1,0
255,510.0,30600,1.0780405,1.8666582,1.7066447,1.3693167,2.2354438,2.2354438,1,0
256,512.0,30720,0.20890403,0.20877,0.24677359,0.2344654,0.2064744,0.24677359,0,0
257,514.0,30840,0.24200878,0.19408803,0.28985852,0.31157124,0.26891506,0.31157124,0,0
258,516.0,30960,0.8293456,0.6534342,0.63199776,0.77823776,0.788197,0.8293456,0,0
259,518.0,31080,0.12998357,0.18651323,0.15025264,0.13677166,0.14480507,0.18651323,0,0
260,520.0,31200,0.17036854,0.22522466,0.16493009,0.13899855,0.12542534,0.22522466,0,0
261,522.0,31320,0.2110551,0.3309426,0.22006491,0.16340247,0.24240929,0.3309426,0,0
262,524.0,31440,0.15601023,0.27284727,0.111656874,0.171661,0.12793745,0.27284727,0,0
263,526.0,31560,0.36633107,0.48866192,0.29828694,0.42310202,0.39261878,0.48866192,0,0
264,528.0,31680,0.18025498,0.23456444,0.2351438,0.2559077,0.18940656,0.2559077,0,0
265,530.0,31800,0.18961117,0.24087346,0.17556204,0.21343373,0.15110457,0.24087346,0,0
266,532.0,31920,0.24047673,0.25411478,0.26468807,0.21934405,0.2111786,0.26468807,0,0
267,534.0,32040,0.23366377,0.30515715,0.19084068,0.2771179,0.15437923,0.30515715,0,0
268,536.0,32160,0.39132085,0.41896063,0.33709207,0.28005314,0.16737032,0.41896063,0,0
269,538.0,32280,0.22811699,0.31566086,0.3185514,0.24923654,0.24139124,0.3185514,0,0
270,540.0,32400,0.37638268,0.33428288,0.41904116,0.23338476,0.21786764,0.41904116,0,0
271,542.0,32520,0.7149484,0.6642058,0.5513838,0.42643225,0.54294235,0.7149484,0,0
272,544.0,32640,0.24568754,0.22058067,0.16722432,0.13970584,0.13814038,0.24568754,0,0
273,546.0,32760,0.25359997,0.17597243,0.16314328,0.118157275,0.1514221,0.25359997,0,0
274,548.0,32880,0.2353968,0.23956141,0.21655497,0.15561686,0.16786058,0.23956141,0,0
275,550.0,33000,0.20001452,0.2814463,0.22196881,0.12756069,0.16117488,0.2814463,0,0
276,552.0,33120,0.13946848,0.13923196,0.18777475,0.10738293,0.13325632,0.18777475,0,0
277,554.0,33240,0.20726752,0.2537034,0.20436327,0.15005462,0.20334569,0.2537034,0,0
278,556.0,33360,0.27304876,0.6329182,0.28608543,0.1540271,0.23800719,0.6329182,0,0
279,558.0,33480,0.2007292,0.20447522,0.14308047,0.11467006,0.18937662,0.20447522,0,0
280,560.0,33600,0.18150592,0.36078808,0.2272899,0.34856448,0.29621658,0.36078808,0,0
281,562.0,33720,0.14867908,0.1890518,0.17157401,0.1913065,0.1826445,0.1913065,0,0
282,564.0,33840,0.13591018,0.17410243,0.18196347,0.14859383,0.17495316,0.18196347,0,0
283,566.0,33960,1.3088918,1.0732238,1.5092362,1.0063856,0.80635047,1.5092362,1,1
