window_index,approx_frame,true_label,reconstruction_error,prediction
89,10680,1,0.39708224,1
90,10800,1,0.42922807,1
91,10920,0,0.2294923,1
92,11040,0,0.14032377,0
93,11160,0,0.039979972,0
94,11280,0,0.14167577,0
95,11400,0,0.16276012,0
96,11520,0,0.1842359,0
97,11640,1,0.21899775,1
98,11760,0,0.04951466,0
99,11880,0,0.062624045,0
100,12000,0,0.049192473,0
101,12120,0,0.084045544,0
102,12240,0,0.060809053,0
103,12360,0,0.05232514,0
104,12480,0,0.055979244,0
105,12600,0,0.049241345,0
106,12720,0,0.076638624,0
107,12840,1,0.14747232,0
108,12960,1,0.21447234,1
109,13080,1,0.12784792,0
110,13200,1,0.16756509,0
111,13320,1,0.21875793,1
112,13440,1,0.18998757,1
113,13560,1,0.23610145,1
114,13680,1,0.16997507,0
115,13800,1,0.12797679,0
116,13920,0,0.19391905,1
117,14040,0,0.13335511,0
118,14160,0,0.05779724,0
119,14280,0,0.08358781,0
120,14400,0,0.071912915,0
121,14520,0,0.04857435,0
122,14640,0,0.032533772,0
123,14760,0,0.055973105,0
124,14880,0,0.028360832,0
125,15000,0,0.026718084,0
126,15120,0,0.08271279,0
127,15240,0,0.044484604,0
128,15360,0,0.06898606,0
129,15480,0,0.05267034,0
130,15600,0,0.054456,0
131,15720,1,0.086989015,0
132,15840,1,0.120010495,0
133,15960,0,0.093278706,0
134,16080,0,0.078131616,0
135,16200,0,0.05935578,0
136,16320,0,0.047988027,0
137,16440,0,0.14951207,0
138,16560,0,0.05693326,0
139,16680,0,0.124381565,0
140,16800,0,0.048179943,0
141,16920,0,0.049962614,0
142,17040,0,0.04117025,0
143,17160,0,0.04289377,0
144,17280,0,0.056957122,0
145,17400,0,0.051129606,0
146,17520,0,0.05875362,0
147,17640,0,0.07804167,0
148,17760,0,0.07435958,0
149,17880,0,0.052061584,0
150,18000,0,0.046679143,0
151,18120,0,0.15523136,0
152,18240,0,0.046865106,0
153,18360,0,0.041443404,0
154,18480,0,0.05336774,0
155,18600,0,0.035077635,0
156,18720,0,0.058007367,0
157,18840,0,0.17266713,0
158,18960,0,0.11134676,0
159,19080,0,0.056513503,0
160,19200,0,0.0496684,0
161,19320,0,0.044272672,0
162,19440,1,0.46049035,1
163,19560,1,0.66419697,1
164,19680,1,0.46917635,1
165,19800,1,0.40270635,1
166,19920,1,0.25374547,1
167,20040,0,0.07034385,0
168,20160,0,0.033555027,0
169,20280,0,0.046966687,0
170,20400,0,0.06503194,0
171,20520,0,0.04133376,0
172,20640,0,0.0378654,0
173,20760,0,0.035306994,0
174,20880,0,0.030556513,0
175,21000,0,0.030746255,0
176,21120,0,0.03431067,0
177,21240,0,0.030246418,0
178,21360,0,0.056561362,0
179,21480,0,0.04031814,0
180,21600,0,0.037324756,0
181,21720,0,0.04323568,0
182,21840,0,0.056430936,0
183,21960,0,0.033564936,0
184,22080,0,0.12114825,0
185,22200,0,0.053965297,0
186,22320,0,0.16843241,0
187,22440,0,0.12213105,0
188,22560,0,0.044609837,0
189,22680,0,0.029237371,0
190,22800,0,0.04498737,0
191,22920,0,0.042594165,0
192,23040,0,0.20379725,1
193,23160,0,0.11575803,0
194,23280,0,0.050193056,0
195,23400,0,0.029323537,0
196,23520,0,0.033430446,0
197,23640,0,0.037801396,0
198,23760,0,0.059546094,0
199,23880,0,0.035093922,0
200,24000,0,0.032630987,0
201,24120,0,0.021286776,0
202,24240,0,0.021039238,0
203,24360,0,0.033698108,0
